Started Date,Completed Date,,name,Des,expense,co,value
2023-05-06 20:13:32,2023-05-06 20:13:32,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-06 20:34:11,2023-05-06 20:34:11,,Savings,Exchanged to EUR Savings,-1.29,0.10,1.29
2023-05-06 20:45:41,2023-05-06 20:45:41,,Savings,Exchanged to EUR Savings,-0.72,0.10,0.72
2023-05-07 19:08:10,2023-05-07 19:08:10,,Savings,Exchanged to EUR Savings,-0.45,0.10,0.45
2023-05-08 00:37:34,2023-05-08 00:37:34,,Savings,Exchanged to EUR Savings,-1.50,0.10,1.50
2023-05-08 11:08:34,2023-05-08 11:08:34,,Savings,Exchanged to EUR Savings,-0.45,0.10,0.45
2023-05-08 18:11:54,2023-05-08 18:11:54,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-08 18:22:58,2023-05-08 18:22:58,,Savings,Exchanged to EUR Savings,-1.56,0.10,1.56
2023-05-08 18:30:24,2023-05-08 18:30:24,,Savings,Exchanged to EUR Savings,-1.35,0.10,1.35
2023-05-09 10:54:21,2023-05-09 10:54:21,,Savings,Exchanged to EUR Savings,-2.40,0.10,2.40
2023-05-10 01:11:49,2023-05-10 01:11:49,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
2023-05-10 09:19:11,2023-05-10 09:19:11,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
2023-05-10 11:39:35,2023-05-10 11:39:35,,Savings,Exchanged to EUR Savings,-2.10,0.10,2.10
2023-05-11 01:12:40,2023-05-11 01:12:40,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
2023-05-11 08:52:18,2023-05-11 08:52:18,,Savings,Exchanged to EUR Savings,-2.40,0.10,2.40
2023-05-11 10:25:32,2023-05-11 10:25:32,,Savings,Exchanged to EUR Savings,-0.90,0.10,0.90
2023-05-11 16:38:34,2023-05-11 16:38:34,,Savings,Exchanged to EUR Savings,-2.46,0.10,2.46
2023-05-11 17:04:23,2023-05-11 17:04:23,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-11 20:49:19,2023-05-11 20:49:19,,Savings,Exchanged to EUR Savings,-1.74,0.10,1.74
2023-05-12 01:10:22,2023-05-12 01:10:22,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
2023-05-12 08:02:36,2023-05-12 08:02:36,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-12 08:37:32,2023-05-12 08:37:32,,Savings,Exchanged to EUR Savings,-0.42,0.10,0.42
2023-05-12 08:41:42,2023-05-12 08:41:42,,Savings,Exchanged to EUR Savings,-2.31,0.10,2.31
2023-05-12 09:49:43,2023-05-12 09:49:43,,Savings,Exchanged to EUR Savings,-2.28,0.10,2.28
2023-05-12 12:14:45,2023-05-12 12:14:45,,Savings,Exchanged to EUR Savings,-0.15,0.10,0.15
2023-05-12 13:47:50,2023-05-12 13:47:50,,Savings,Exchanged to EUR Savings,-1.05,0.10,1.05
2023-05-12 17:55:43,2023-05-12 17:55:43,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-13 00:51:56,2023-05-13 00:51:56,,Savings,Exchanged to EUR Savings,-0.75,0.10,0.75
2023-05-13 08:07:25,2023-05-13 08:07:25,,Savings,Exchanged to EUR Savings,-0.15,0.10,0.15
2023-05-13 14:12:26,2023-05-13 14:12:26,,Savings,Exchanged to EUR Savings,-1.50,0.10,1.50
2023-05-14 00:50:15,2023-05-14 00:50:15,,Savings,Exchanged to EUR Savings,-1.50,0.10,1.50
2023-05-14 12:22:13,2023-05-14 12:22:13,,Savings,Exchanged to EUR Savings,-2.16,0.10,2.16
2023-05-14 12:24:57,2023-05-14 12:24:57,,Savings,Exchanged to EUR Savings,-2.40,0.10,2.40
2023-05-14 12:43:19,2023-05-14 12:43:19,,Savings,Exchanged to EUR Savings,-0.75,0.10,0.75
2023-05-14 12:54:35,2023-05-14 12:54:35,,Savings,Exchanged to EUR Savings,-0.06,0.10,0.06
2023-05-14 12:58:21,2023-05-14 12:58:21,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-14 14:05:52,2023-05-14 14:05:52,,Savings,Exchanged to EUR Savings,-2.40,0.10,2.40
2023-05-15 12:24:38,2023-05-15 12:24:38,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-15 19:08:40,2023-05-15 19:08:40,,Savings,Exchanged to EUR Savings,-2.40,0.10,2.40
2023-05-16 00:58:08,2023-05-16 00:58:08,,Savings,Exchanged to EUR Savings,-2.10,0.10,2.10
2023-05-16 11:27:10,2023-05-16 11:27:10,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-16 18:02:22,2023-05-16 18:02:22,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-16 18:54:43,2023-05-16 18:54:43,,Savings,Exchanged to EUR Savings,-1.50,0.10,1.50
2023-05-17 01:07:15,2023-05-17 01:07:15,,Savings,Exchanged to EUR Savings,-1.20,0.10,1.20
2023-05-17 09:19:48,2023-05-17 09:19:48,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-17 12:29:46,2023-05-17 12:29:46,,Savings,Exchanged to EUR Savings,-0.81,0.10,0.81
2023-05-17 12:56:53,2023-05-17 12:56:53,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-17 15:28:31,2023-05-17 15:28:31,,Savings,Exchanged to EUR Savings,-0.30,0.10,0.30
2023-05-17 17:51:40,2023-05-17 17:51:40,,Savings,Exchanged to EUR Savings,-0.87,0.10,0.87
2023-05-17 18:47:41,2023-05-17 18:47:41,,Savings,Exchanged to EUR Savings,-0.87,0.10,0.87
2023-05-18 01:08:36,2023-05-18 01:08:36,,Savings,Exchanged to EUR Savings,-1.50,0.10,1.50
2023-05-18 12:43:08,2023-05-18 12:43:08,,Savings,Exchanged to EUR Savings,-0.90,0.10,0.90
2023-05-18 16:03:25,2023-05-18 16:03:25,,Savings,Exchanged to EUR Savings,-0.30,0.10,0.30
2023-05-18 21:40:04,2023-05-18 21:40:04,,Savings,Exchanged to EUR Savings,-1.80,0.10,1.80
2023-05-19 01:10:22,2023-05-19 01:10:22,,Savings,Exchanged to EUR Savings,-0.75,0.10,0.75
2023-05-19 08:31:49,2023-05-19 08:31:49,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-19 08:36:27,2023-05-19 08:36:27,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-19 12:46:19,2023-05-19 12:46:19,,Savings,Exchanged to EUR Savings,-1.65,0.10,1.65
2023-05-19 17:05:42,2023-05-19 17:05:42,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-20 01:00:20,2023-05-20 01:00:20,,Savings,Exchanged to EUR Savings,-0.75,0.10,0.75
2023-05-20 10:25:12,2023-05-20 10:25:12,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
2023-05-20 12:20:33,2023-05-20 12:20:33,,Savings,Exchanged to EUR Savings,-3.00,0.10,3.00
2023-05-20 12:55:32,2023-05-20 12:55:32,,Savings,Exchanged to EUR Savings,-2.82,0.10,2.82
2023-05-20 14:27:29,2023-05-20 14:27:29,,Savings,Exchanged to EUR Savings,-0.45,0.10,0.45
2023-05-20 16:07:24,2023-05-20 16:07:24,,Savings,Exchanged to EUR Savings,-2.16,0.10,2.16
2023-05-20 21:43:44,2023-05-20 21:43:44,,Savings,Exchanged to EUR Savings,-0.03,0.10,0.03
